รหัสสินค้า,ชื่อสินค้า
800000122679,ໝູ​ກະ​ປ່ອງ340g
800000084384,AFMໄສ້ກອກຊີດຂຽວ 500ກຼາມ
800000084257,ຜັກຫົມ 300ກຼາມ
800000109611,ໄວຕາມີວງາຂາວ300ml
800000084224,ຕີນໄກ່ 1 kg
800000084284,ກະແລ້ມເຜືອກ
2255121281,ກະດູກຂໍ້
800000237427,ເສັ້ນບູດົງ200g
2255121283,ກະດູກສັນຫລັງ
2255121232,ກະດູກຂ້າງໝູ
800000084303,ຮອນດອກແດງນ້ອຍ1kg
2255121282,ກະດູກໃບພາຍ
800000142230,ແຈ່ວດາດ-ຈຸ່ມແມ່ບົວໄລ
2255121295,ຂາຕັ້ງ (ຂາຫລັງໝູ)
2255121211,ກະດູກແກງໝູ
2255121206,ສັນໃນໝູ 
2255121614,ຊີ້ນໝູສາມຊັ້ນສະໄລ້ WF(TS) 500 ກຣາມ
11008934,ເຕົາຫູ້ໄຂ່ ເກດ A
800000084195,ນໍ້າທິບນ້ອຍ 350ມລ
800000084194,ນໍ້າທິບກາງ 550ມລ
800000084409,ຄະນໍກ້ອນລົດໝູ
800000102119,ເຫັດເຂັມຖົງຂຽວ
800000084310,ແຈ່ວດາດໂຕໝູ (ໃຫຍ່)
800000086217,ແຈ່ວເສສວນຍົກໂປ້150g
800000103166,ເສັ້ນມັນດ້າງແດງ240g
800000122702,ເຕົາຮູ້ແຜ່ນ
800000084408,ຄະນໍກ້ອນ ຕົ້ມຍຳ
800000155539,ກ້ຽວ500g
800000084293,ປູອັດTVI 250ກຼາມ
800000084343,ລ້ອນປຽກດອກຝ້າຍ 500ກຼາມ
