ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
51,CP Fresh Shop ດອນໜູນ,01/06/2025,800000103617,9985612345,ຜັກກາດຂາວ,002,ຜັກປອດສານພິດ,9.72,15.0,3.396,0,0,0.0,0.0,0,0,21.323,ກິໂລກຣາມ,10667,227452.44,-,-
52,CP Fresh Shop ດອນໜູນ,01/06/2025,2255120346,8858984833129,ຫມູທອດ 1000g,006,ຊີ້ນແພກແບຣນ,25.0,0.0,4.0,0,0,0.0,0.0,0,0,21.0,ແພັກ,71000,1491000.0,-,-
53,CP Fresh Shop ດອນໜູນ,01/06/2025,2255120400,8858984833068,ໝູນຸ້ມໝັກນ້ຳມັນງາ 500g,006,ຊີ້ນແພກແບຣນ,24.0,0.0,3.0,0,0,0.0,0.0,0,0,21.0,ແພັກ,36003,756063.0,-,-
54,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121204,9921204,ສັນຄໍໝູ,003,ຊີ້ນສົດ,33.3,0.0,12.791,0,0,0.0,0.0,0,0,20.511,ກິໂລກຣາມ,96000,1969056.0,-,-
55,CP Fresh Shop ດອນໜູນ,01/06/2025,800000102050,03092024,ເຫັດຫຼວງ500g,804,ເຫັດ-ສາຫຼ່າຍ,24.0,0.0,4.0,0,0,0.0,0.0,0,0,20.0,"ຊນ,ອັນ",13000,260000.0,-,-
56,CP Fresh Shop ດອນໜູນ,01/06/2025,800000107280,8850725141012,ນ້ຳຕານແດງ1kg,010,ເຄື່ອງປຸງ,22.0,0.0,2.0,0,0,0.0,0.0,0,0,20.0,"ຊນ,ອັນ",17600,352000.0,-,-
57,CP Fresh Shop ດອນໜູນ,01/06/2025,2220354303,8850653335231,ໄຂ່ໄກ່ແຕະ 30 ຟອງ ຝາຄອບ-ເບີ 3,011,ໄກ່ - ໄຂ່,22.0,0.0,3.0,0,0,0.0,0.0,0,0,19.0,ແຕະ,75000,1425000.0,-,-
58,CP Fresh Shop ດອນໜູນ,01/06/2025,800000107704,02212025,ປີກກາງຖົງ2kg,007,ອາຫານແຊ່ແຂງ,20.0,0.0,1.0,0,0,0.0,0.0,0,0,19.0,"ຊນ,ອັນ",187667,3565673.0,-,-
59,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121283,9921283,ກະດູກສັນຫລັງ,003,ຊີ້ນສົດ,30.16,0.0,11.589,0,0,0.0,0.0,0,0,18.573,ກິໂລກຣາມ,40000,742920.0,-,-
60,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084485,8850058004633,ແຈ່ວພັນທ້າຍ 342 ກຼາມ,801,ນໍ້າແຈ່ວ,19.0,0.0,1.0,0,0,0.0,0.0,0,0,18.0,"ຊນ,ອັນ",32654,587772.0,-,-
